atomic_task_id,site_id,preparation_start_s,service_start_s,service_end_s,uav_available_s
P01_GAMMA06_M003_00_A00,E52_2d291a2169e36d61d7bf7582,72.4910963406017,752.875,993.8958333333334,1821.0951549818267
P01_GAMMA06_M003_00_A00,E52_7e4744117cf2a1b6b8665ab3,68.04890671452904,752.875,993.8958333333334,1824.6065559319554
P01_GAMMA06_M003_00_A00,E52_a0032802edd73d232f2c84c2,60.38269124324978,752.875,993.8958333333334,1832.4677939862424
P01_GAMMA06_M003_00_A00,E52_be79b94db4a0a5b6faaed631,103.58886791161865,752.875,993.8958333333334,1786.8180748374048
P01_GAMMA06_M003_00_A00,E52_f4836ff0bfcbe7f74f580128,96.04404639812009,752.875,993.8958333333334,1794.2495845833253
P01_GAMMA06_M003_00_A00,E52_fb97bb829fc82a7376005525,58.884018251412726,752.875,993.8958333333334,1836.5858466574414
P01_GAMMA06_M004_00_A00,E52_060143e4033ea7dfc142ce26,8.546942175858703,609.0685078566343,850.6856953566343,1573.6619904990798
P01_GAMMA06_M004_00_A00,E52_24cc4f01335372459fb4c2ba,-11.19484037244797,609.0685078566343,850.6856953566343,1598.4810371973701
P01_GAMMA06_M004_00_A00,E52_2cea01313b8862fcfb6b2e63,139.47275888620243,609.0685078566343,850.6856953566343,1430.7709778150218
P01_GAMMA06_M004_00_A00,E52_2dadfb43d7dd9558e21effa9,2.993328670865594,609.0685078566343,850.6856953566343,1578.8649023540893
P01_GAMMA06_M004_00_A00,E52_357bbbd4dc4420221c875ea3,-6.364250365692669,609.0685078566343,850.6856953566343,1583.8371219444398
P01_GAMMA06_M004_00_A00,E52_50c718ca7f326f764494c89d,48.21495629007609,609.0685078566343,850.6856953566343,1520.8737968906403
P01_GAMMA06_M004_00_A00,E52_7e5f4a4eaf9aa5b10576997a,14.94891871831112,609.0685078566343,850.6856953566343,1565.4856787312042
P01_GAMMA06_M004_00_A00,E52_924cec2d58c933358893a332,-17.601936931729767,609.0685078566343,850.6856953566343,1599.670153053934
P01_GAMMA06_M004_00_A00,E52_96da4f081c74d8211b4b244f,-7.376072311304938,609.0685078566343,850.6856953566343,1588.0539012163053
P01_GAMMA06_M004_00_A00,E52_a77602565c04dca5831f9b7a,103.71796839492373,609.0685078566343,850.6856953566343,1473.000412013576
P01_GAMMA06_M004_00_A00,E52_b544b4d7beda1d6ed7fbeefb,105.15496049690711,609.0685078566343,850.6856953566343,1475.176828318168
P01_GAMMA06_M004_00_A00,E52_b7c433bb400c5a28313b13f0,128.4383457711054,609.0685078566343,850.6856953566343,1441.8904802957602
P01_GAMMA06_M004_00_A00,E52_bfffb2993ede6e2e2bd9340b,-1.7850437099239116,609.0685078566343,850.6856953566343,1587.540463557307
P01_GAMMA06_M004_00_A00,E52_c76d93c5902d0dc017f7065c,138.2060898163,609.0685078566343,850.6856953566343,1429.2560357602497
